loan_amnt,funded_amnt,funded_amnt_inv,term (months),int_rate (%),installment,grade,sub_grade,emp_length (year),home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,revol_bal,revol_util (%),total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_amnt,funded_ratio,credit_history_age,payment_ratio
5000,5000,4975.0,36.0,10.65,162.87,B,B2,10,RENT,24000.0,Verified,2011-12-01,Fully Paid,credit_card,27.65,0,1985-01-01,1,3,13648,83.7,9,5863.155187,5833.84,5000.0,863.16,171.62,1.0,26.931506849315067,0.032574
2500,2500,2500.0,60.0,15.27,59.83,C,C4,0,RENT,30000.0,Source Verified,2011-12-01,Charged Off,car,1.0,0,1999-04-01,5,3,1687,9.4,4,1008.71,1008.71,456.46,435.17,119.66,1.0,12.676712328767124,0.023932
2400,2400,2400.0,36.0,15.96,84.33,C,C5,10,RENT,12252.0,Not Verified,2011-12-01,Fully Paid,small_business,8.72,0,2001-11-01,2,2,2956,98.5,10,3005.666844,3005.67,2400.0,605.67,649.91,1.0,10.087671232876712,0.0351375
10000,10000,10000.0,36.0,13.49,339.31,C,C1,10,RENT,49200.0,Source Verified,2011-12-01,Fully Paid,other,20.0,0,1996-02-01,1,10,5598,21.0,37,12231.89,12231.89,10000.0,2214.92,357.48,1.0,15.841095890410958,0.033931
5000,5000,5000.0,36.0,7.9,156.46,A,A4,3,RENT,36000.0,Source Verified,2011-12-01,Fully Paid,wedding,11.2,0,2004-11-01,3,9,7963,28.3,12,5632.21,5632.21,5000.0,632.21,161.03,1.0,7.0849315068493155,0.031292
7000,7000,7000.0,60.0,15.96,170.08,C,C5,8,RENT,47004.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,23.51,0,2005-07-01,1,7,17726,85.6,11,10110.84,10110.84,6985.61,3125.23,1313.76,1.0,6.421917808219178,0.024297142857142857
3000,3000,3000.0,36.0,18.64,109.43,E,E1,9,RENT,48000.0,Source Verified,2011-12-01,Fully Paid,car,5.35,0,2007-01-01,2,4,8221,87.5,4,3939.135294,3939.14,3000.0,939.14,111.34,1.0,4.917808219178082,0.03647666666666667
5600,5600,5600.0,60.0,21.28,152.39,F,F2,4,OWN,40000.0,Source Verified,2011-12-01,Charged Off,small_business,5.55,0,2004-04-01,2,11,5210,32.6,13,646.02,646.02,162.02,294.94,152.39,1.0,7.671232876712328,0.027212499999999997
5375,5375,5350.0,60.0,12.69,121.45,B,B5,0,RENT,15000.0,Verified,2011-12-01,Charged Off,other,18.08,0,2004-09-01,0,2,9279,36.5,3,1476.19,1469.34,673.48,533.42,121.45,1.0,7.252054794520548,0.022595348837209303
6500,6500,6500.0,60.0,14.65,153.45,C,C3,5,OWN,72000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,16.12,0,1998-01-01,2,14,4032,20.6,23,7678.017673,7678.02,6500.0,1178.02,1655.54,1.0,13.923287671232877,0.023607692307692305
12000,12000,12000.0,36.0,12.69,402.54,B,B5,10,OWN,75000.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,10.78,0,1989-10-01,0,12,23336,67.1,34,13947.98916,13947.99,12000.0,1947.99,6315.3,1.0,22.18082191780822,0.033545
9000,9000,9000.0,36.0,13.49,305.38,C,C1,0,RENT,30000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,10.08,0,2004-04-01,1,4,10452,91.7,9,2270.7,2270.7,1256.14,570.26,305.38,1.0,7.671232876712328,0.03393111111111111
3000,3000,3000.0,36.0,9.91,96.68,B,B1,3,RENT,15000.0,Source Verified,2011-12-01,Fully Paid,credit_card,12.56,0,2003-07-01,2,11,7323,43.1,11,3480.269999,3480.27,3000.0,480.27,102.43,1.0,8.424657534246576,0.03222666666666667
